"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00212555","ELY 25 E, MN US","1998-06-01",,,,"0.57","0.0",,"48","39","44",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-02",,,,"0.02","0.0","0.0","51","39","44",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-03",,,,"0.00","0.0","0.0","54","39","42",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-04",,,,"0.00","0.0","0.0","54","37","45",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-05",,,,"0.02","0.0","0.0","54","37","45",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-06",,,,"0.00","0.0","0.0","58","45","50",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-07",,,,"0.00","0.0","0.0","61","42","47",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-08",,,,"0.00","0.0","0.0","65","42","50",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-09",,,,"0.00","0.0","0.0","68","50","51",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-10",,,,"0.00","0.0","0.0","68","50","54",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-11",,,,"0.12","0.0","0.0","68","50","56",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-12",,,,"0.24","0.0","0.0","62","51","53",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-13",,,,"0.00","0.0","0.0","82","53","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-14",,,,"0.00","0.0","0.0","81","52","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-15",,,,"0.00","0.0","0.0","85","57","64",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-16",,,,"0.00","0.0","0.0","85","53","59",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-17",,,,"0.00","0.0","0.0","78","59","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-18",,,,"0.37","0.0","0.0","78","58","59",,,,,,,
