"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 00:00","1967","04","01","00:00","-1.1","","-3.3","","86","","29","","19","","24.1","","96.88","","","","-6","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 01:00","1967","04","01","01:00","-1.7","","-7.2","","66","","29","","16","","24.1","","96.96","","","","-7","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 02:00","1967","04","01","02:00","-2.8","","-6.7","","76","","25","","19","","24.1","","97.02","","","","-9","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 03:00","1967","04","01","03:00","-4.4","","-8.9","","70","","29","","23","","24.1","","97.16","","","","-11","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 04:00","1967","04","01","04:00","-5.0","","-11.7","","59","","29","","26","","24.1","","97.26","","","","-12","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 05:00","1967","04","01","05:00","-7.2","","-12.8","","65","","32","","16","","24.1","","97.32","","","","-14","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 06:00","1967","04","01","06:00","-7.8","","-15.0","","55","","32","","16","","24.1","","97.34","","","","-14","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 07:00","1967","04","01","07:00","-8.9","","-15.6","","58","","29","","13","","24.1","","97.46","","","","-15","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 08:00","1967","04","01","08:00","-8.9","","-13.9","","67","","29","","5","","24.1","","97.66","","","","-12","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 09:00","1967","04","01","09:00","-8.9","","-15.0","","61","","27","","16","","24.1","","97.71","","","","-16","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 10:00","1967","04","01","10:00","-8.3","","-14.4","","61","","27","","13","","24.1","","97.73","","","","-14","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 11:00","1967","04","01","11:00","-7.8","","-14.4","","60","","32","","14","","24.1","","97.82","","","","-14","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 12:00","1967","04","01","12:00","-7.2","","-13.9","","58","","32","","16","","24.1","","97.79","","","","-14","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 13:00","1967","04","01","13:00","-5.6","","-11.7","","62","","32","","13","","24.1","","97.80","","","","-11","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 14:00","1967","04","01","14:00","-4.4","","-8.9","","70","","27","","11","","24.1","","97.79","","","","-9","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 15:00","1967","04","01","15:00","-3.3","","-6.7","","78","","32","","14","","24.1","","97.72","","","","-8","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 16:00","1967","04","01","16:00","-2.8","","-5.6","","80","","27","","8","","24.1","","97.64","","","","-6","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 17:00","1967","04","01","17:00","-1.7","","-6.1","","73","","23","","3","","24.1","","97.60","","","","-3","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 18:00","1967","04","01","18:00","-1.7","","-7.2","","67","","23","","10","","24.1","","97.59","","","","-5","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 19:00","1967","04","01","19:00","-1.7","","-7.8","","62","","23","","5","","24.1","","97.53","","","","-4","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 20:00","1967","04","01","20:00","-3.3","","-5.6","","84","","20","","3","","24.1","","97.47","","","","-5","","Mostly Cloudy"
