"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-01","0.15","0.0","0.0","48","52","44","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-02","0.01","0.0","0.0","45","50","40","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-03","0.00","0.0","0.0","45","55","35","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-04","0.00","0.0","0.0","43","53","32","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-05","0.04","0.0","0.0","47","53","40","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-06","0.03","0.0","0.0","51","59","42","0.0",,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-07","0.02","0.0","0.0","52","64","39","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-08","0.00","0.0","0.0","51","68","34","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-09","0.00","0.0","0.0","57","70","44","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-10","0.00","0.0","0.0","54","64","43","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-11","0.27","0.0","0.0","62","68","55","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-12","0.07","0.0","0.0","62","73","50","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-13","0.00","0.0","0.0","65","81","49","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-14","0.00","0.0","0.0","65","82","47","0.0",,,"    1",,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-15","0.03","0.0","0.0","67","79","54","0.0",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-16","0.02","0.0","0.0","66","81","50","0.0","    1","    1","    1",,,,,,,,"    1",,,"    1",,,,"    1",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-17","0.00","0.0","0.0","65","78","52","0.0","    1",,,,,,,,,,"    1",,,,,,,"    1",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-18","0.29","0.0","0.0","69","75","63","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-19","1.06","0.0","0.0","65","72","58","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-20","0.00","0.0","0.0","69","79","59","0.0",,,"    1",,,,,,,,,,,,,,,,,"    1"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-21","0.05","0.0","0.0","65","71","59","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-22","0.03","0.0","0.0","61","67","55","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-23","0.00","0.0","0.0","63","68","57","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-24","0.85","0.0","0.0","66","75","57","0.0","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-25","0.13","0.0","0.0","65","73","57","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-26","0.00","0.0","0.0","68","83","52","0.0","    1","    1",,,,,,,,,"    1",,,,,,,"    1",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-27","0.73","0.0","0.0","72","79","63","0.0","    1",,"    1",,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-28","0.37","0.0","0.0","65","71","59","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-29","0.18","0.0","0.0","66","72","60","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-30","0.00","0.0","0.0","68","80","56","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-01","0.00","0.0","0.0","66","80","52","0.0","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-02","0.05","0.0","0.0","66","82","50","0.0","    1",,"    1",,,,,,,"    1","    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-03","0.01","0.0","0.0","67","75","58","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-04","0.00","0.0","0.0","62","76","47","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-05","0.02","0.0","0.0","64","70","57","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-06","0.00","0.0","0.0","65","75","55","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-07","0.02","0.0","0.0","61","68","53","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-08","0.00","0.0","0.0","64","81","47","0.0","    1","    1",,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-09","0.00","0.0","0.0","70","84","55","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-10","0.00","0.0","0.0","71","83","59","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-11","0.00","0.0","0.0","77","89","65","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-12","0.25","0.0","0.0","75","83","67","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-13","0.00","0.0","0.0","71","87","55","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-14","0.51","0.0","0.0","65","78","52","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-15","0.00","0.0","0.0","67","77","56","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-16","0.00","0.0","0.0","61","72","50","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-17","0.00","0.0","0.0","60","76","43","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-18","0.09","0.0","0.0","67","74","59","0.0",,,"    1",,,,,,,,,,,"    1",,,,,,
