"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-01","8.05"," 1639"," 1434","0.15","0.0","0.0","48","52","44","   60","   40","0.0","17.0","23.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-02","9.84"," 1344"," 1343","0.01","0.0","0.0","45","50","40","  330","  320","0.0","25.1","29.1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-03","11.63"," 1635"," 1620","0.00","0.0","0.0","45","55","35","  340","  310","0.0","23.9","31.1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-04","5.82"," 1214"," 1214","0.00","0.0","0.0","43","53","32","   30","   40","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-05","4.25"," 1328"," 1327","0.04","0.0","0.0","47","53","40","   20","   10","0.0","15.0","17.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-06","2.91"," 1620"," 1619","0.03","0.0","0.0","51","59","42","  330","  330","0.0","17.9","23.0",,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-07","4.47"," 1115"," 1115","0.02","0.0","0.0","52","64","39","  360","  360","0.0","21.9","25.1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-08","4.70"," 1231"," 1241","0.00","0.0","0.0","51","68","34","  360","   60","0.0","13.0","16.1",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-09","5.59"," 1507"," 1120","0.00","0.0","0.0","57","70","44","  110","   10","0.0","14.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-06-10","9.40"," 1512"," 1422","0.00","0.0","0.0","54","64","43","  170","  160","0.0","17.0","23.0",,,,,,,,,,,,,,,,,,,,
